id,isCorrect
1,true
2,true
3,false
4,false
5,false
6,false
7,true
8,false
9,true
10,false
11,false
12,true
13,true
14,true
15,false
16,true
17,true
18,true
19,false
20,false
21,false
22,true
23,true
24,true
25,true
26,false
27,true
28,false
29,true
30,false
31,false
32,false
33,false
34,true
35,false
36,false
37,true
38,true
39,true
40,false
41,false
42,true
43,false
44,true
45,true
46,true
47,true
48,false
49,false
50,false
51,true
52,true
53,false
54,true
55,false
56,true
57,false
58,true
59,false
60,true
61,false
62,false
63,true
64,false
65,true
66,false
67,false
68,true
69,false
70,true
71,false
72,true
73,false
74,true
75,false
76,false
77,true
78,false
79,true
80,false
81,false
82,true
83,true
84,true
85,false
86,true
87,false
88,false
89,true
90,true
91,false
92,true
93,false
94,false
95,true
96,false
97,true
98,true
99,true
100,false
101,true
102,false
103,true
104,false
105,false
106,true
107,true
108,true
109,true
110,false
111,true
112,true
113,true
114,false
115,false
116,false
117,true
118,false
119,false
120,true
121,false
122,true
123,true
124,false
125,true
126,true
127,true
128,false
129,false
130,true
131,true
132,false
133,false
134,true
135,false
136,false
137,true
138,true
139,false
140,true
141,false
142,true
143,false
144,true
145,true
146,true
147,false
148,true
149,false
150,false
151,false
152,true
153,false
154,false
155,true
156,false
157,false
158,true
159,false
160,true
161,false
162,true
163,false
164,true
165,false
166,true
167,true
168,false
169,true
170,true
171,false
172,true
173,false
174,false
175,false
176,false
177,false
178,true
179,true
180,false
181,true
182,false
183,true
184,false
185,false
186,true
187,true
188,true
189,false
190,false
191,true
192,false
193,false
194,true
195,false
196,true
197,false
198,false
199,false
200,true
201,false
202,true
203,true
204,true
205,true
206,false
207,false
208,false
209,false
210,true
211,false
212,true
213,false
214,true
215,false
216,false
217,true
218,false
219,true
220,false
221,true
222,false
223,true
224,false
225,true
226,false
227,true
228,false
229,false
230,false
231,false
232,true
233,true
234,false
235,false
236,false
237,false
238,true
239,false
240,true
241,false
242,true
243,false
244,true
245,true
246,true
247,false
248,false
249,true
250,true
251,false
252,true
253,true
254,false
255,false
256,true
257,true
258,false
259,true
260,false
261,false
262,false
263,false
264,false
265,false
266,true
267,true
268,false
269,true
270,false
271,true
272,false
273,true
274,false
275,false
276,false
277,true
278,true
279,false
280,true
281,true
